"comment_id","topic_id","user_id","comment_description","comment_date","comment_like_count","comment_dislike_count"
"4","11","2","hyhyj
","2019-03-15","0","0"
"5","11","2","iipypiy","2019-03-15","0","0"
"6","2","2","gtfrtfr6","2019-03-15","0","0"
"8","11","7","This was a very helpful post. Thank you!","2019-03-17","0","0"
"9","11","7","Such absurdities need to be fucking curbed, you raggedy ass piece of shit!","2019-03-17","0","0"
"10","22","7","Even I am a Chowkidaar!","2019-03-17","0","0"
"11","22","7","This is a fucking sham. These motherfuckers have no right to rule our country! Fuck these sons of whores, and daughters of pigs!","2019-03-17","0","0"
"12","4","7","Hah! Only fat girls and ugly whores use such things. Fat motherfucking pigs.","2019-03-17","0","1"
"13","4","7","Fuck you! This site fucking sucks!","2019-03-17","0","0"
"14","4","7","Thank you so much for such helpful information!","2019-03-17","0","0"
